name,number
Afghanistan,
Angola,
Albania,
United Arab Emirates,
Argentina,
Armenia,
Antarctica,
French Southern and Antarctic Lands,
Australia,
Austria,71830
Azerbaijan,
Burundi,
Belgium,46850
Benin,
Burkina Faso,
Bangladesh,
Bulgaria,
The Bahamas,
Bosnia and Herzegovina,
Belarus,
Belize,
Bolivia,
Brazil,
Brunei,
Bhutan,
Botswana,
Central African Republic,
Canada,
Switzerland,55920
Chile,
China,
Ivory Coast,
Cameroon,
Democratic Republic of the Congo,
Republic of the Congo,
Colombia,
Costa Rica,
Cuba,
Northern Cyprus,
Cyprus,
Czech Republic,373820
Germany,641390
Djibouti,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Spain,119740
Estonia,27490
Ethiopia,
Finland,
Fiji,
Falkland Islands,
France,87970
Gabon,
United Kingdom,70500
Georgia,
Ghana,
Guinea,
Gambia,
Guinea Bissau,
Equatorial Guinea,
Greece,
Greenland,
Guatemala,
Guyana,
Honduras,
Croatia,
Haiti,
Hungary,
Indonesia,
India,
Ireland,
Iran,
Iraq,
Iceland,
Israel,
Italy,97310
Jamaica,
Jordan,
Japan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
South Korea,
Kosovo,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Morocco,
Moldova,
Madagascar,
Mexico,
Macedonia,
Mali,
Myanmar,
Montenegro,
Mongolia,
Mozambique,
Mauritania,
Malawi,
Malaysia,
Namibia,
New Caledonia,
Niger,
Nigeria,
Nicaragua,
Netherlands,64480
Norway,
Nepal,
New Zealand,
Oman,
Pakistan,
Panama,
Peru,
Philippines,
Papua New Guinea,
Poland,1169500
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Qatar,
Romania,37490
Russia,
Rwanda,
Western Sahara,
Saudi Arabia,
Sudan,
South Sudan,
Senegal,
Solomon Islands,
Sierra Leone,
El Salvador,
Somaliland,
Somalia,
Republic of Serbia,
Suriname,
Slovakia,
Slovenia,
Sweden,38050
Swaziland,
Syria,
Chad,
Togo,
Thailand,
Tajikistan,
Turkmenistan,
East Timor,
Trinidad and Tobago,
Tunisia,
Turkey,
Taiwan,
United Republic of Tanzania,
Uganda,
Ukraine,
Uruguay,
United States of America,
Uzbekistan,
Venezuela,
Vietnam,
Vanuatu,
West Bank,
Yemen,
South Africa,
Zambia,
Zimbabwe,
